日期,confirmedCount
2020/3/18,199193
2020/3/17,198178
2020/3/16,182406
2020/3/15,169362
2020/3/14,156433
2020/3/13,144031
2020/3/12,134529
2020/3/11,126054
2020/3/10,118905
2020/3/9,114285
2020/3/8,109936
2020/3/7,106016
2020/3/6,101954
2020/3/5,98088
2020/3/4,95181
2020/3/3,92880
2020/3/2,90308
2020/3/1,88377
2020/2/29,86602
2020/2/28,84186
2020/2/27,82794
2020/2/26,81406
2020/2/25,80427
2020/2/24,79774
2020/2/23,79202
2020/2/22,78635
2020/2/21,77672
2020/2/20,76202
2020/2/19,75669
2020/2/18,75138
2020/2/17,73260
2020/2/16,71231
2020/2/15,69044
2020/2/14,66900
2020/2/13,64456
2020/2/12,60120
2020/2/11,44789
2020/2/10,42760
2020/2/9,40234
2020/2/8,37612
2020/2/7,34876
2020/2/6,31439
2020/2/5,28276
2020/2/4,24553
2020/2/3,20626
2020/2/2,17387
2020/2/1,14551
2020/1/31,11948
2020/1/30,9821
2020/1/29,7816
2020/1/28,6061
2020/1/27,4579
2020/1/26,2801
2020/1/25,2015
2020/1/24,1312
2020/1/23,844
2020/1/22,581
2020/1/21,314
2020/1/20,282
